City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,11.24,76,0,1.69,AU,1726520149
1,olonkinbyen,70.9221,-8.7187,0.8,79,100,4.56,SJ,1726520151
2,tamanrasset,22.785,5.5228,24.95,57,40,2.06,DZ,1726520188
3,udachny,66.4167,112.4,3.06,97,100,8.45,RU,1726520165
4,adamstown,-25.066,-130.1015,19.27,85,100,9.83,PN,1726520146
5,waitangi,-43.9535,-176.5597,11.01,96,100,4.02,NZ,1726520145
6,saldanha,-33.0117,17.9442,11.03,83,0,8.62,ZA,1726520205
7,itaguai,-22.8522,-43.7753,21.79,83,100,6.69,BR,1726520206
8,ilulissat,69.2167,-51.1,2.01,87,100,2.57,GL,1726520157
9,grytviken,-54.2811,-36.5092,-1.38,82,44,5.6,GS,1726520147
10,lebu,-37.6167,-73.65,11.0,70,100,6.68,CL,1726520157
11,carolina beach,34.0352,-77.8936,25.04,95,58,1.34,US,1726520211
12,papatowai,-46.5619,169.4708,3.78,78,100,7.04,NZ,1726520152
13,bethel,41.3712,-73.414,25.21,53,0,2.57,US,1726520157
14,qaqortoq,60.7167,-46.0333,4.64,83,100,1.43,GL,1726520150
15,longyearbyen,78.2186,15.6401,7.91,76,75,4.12,SJ,1726520162
16,yellowknife,62.456,-114.3525,15.23,88,100,5.66,CA,1726520154
17,sovetskaya gavan',48.9723,140.2878,12.41,63,78,2.18,RU,1726520217
18,west island,-12.1568,96.8225,25.99,69,24,7.2,CC,1726520146
19,cockburn town,21.4612,-71.1419,30.98,79,40,6.17,TC,1726520163
20,oranjemund,-28.55,16.4333,12.28,88,0,7.12,NA,1726520174
21,nar'yan-mar,67.6713,53.087,14.26,78,90,3.59,RU,1726520171
22,vallenar,-28.5708,-70.7581,17.55,39,0,5.14,CL,1726520224
23,edinburgh of the seven seas,-37.0676,-12.3116,10.37,68,33,16.89,SH,1726520153
24,ribeira grande,38.5167,-28.7,23.76,83,40,8.75,PT,1726520162
25,puerto ayora,-0.7393,-90.3518,21.97,93,90,3.13,EC,1726520148
26,nagqu,31.5,92.0,2.41,85,10,1.61,CN,1726520165
27,avarua,-21.2078,-159.775,26.03,73,40,7.2,CK,1726520169
28,mugia,43.1041,-9.2179,17.73,62,39,11.01,ES,1726520182
29,albany,42.6001,-73.9662,27.54,39,54,2.35,US,1726520147
30,sisimiut,66.9395,-53.6735,3.05,74,25,3.41,GL,1726520233
31,winterset,41.3308,-94.0138,30.31,29,3,7.93,US,1726520234
32,college,64.8569,-147.8028,8.37,85,100,3.6,US,1726520158
33,jamestown,42.097,-79.2353,27.79,39,0,3.6,US,1726520163
34,kalmunai,7.4167,81.8167,27.56,73,100,1.95,LK,1726520237
35,codrington,-38.2667,141.9667,9.34,76,100,4.54,AU,1726520192
36,port-aux-francais,-49.35,70.2167,4.48,95,100,16.48,TF,1726520146
37,egilsstadir,65.2653,-14.3948,9.95,71,100,3.09,IS,1726520153
38,sarangani,5.4033,125.4636,27.6,80,100,7.5,PH,1726520241
39,kuching,1.55,110.3333,26.12,95,20,2.57,MY,1726520242
